Acp5
Cav1
Cyb5b
Cyb5r3
Cyp1b1
Ddah1
H2-M3
Hsp90aa1
Ifng
Klrk1
Mtarc1
Mtarc2
Nos1
Nos2
Nos3
P2rx4
Por
Rora
Slc7a2
Slc7a6
Spr
Ticam1
Tlr2
Tlr4
