Abcb1a
Adcy8
Ass1
Ccna2
Cdo1
Cps1
Creb1
Cry1
Cyc1
Fut1
Gcg
Gcgr
Glp1r
Glp2r
Gnas
Hmga1
Hmgcs2
Pck1
Prkaca
Prkar1a
Srebf1
mt-Cytb
