Aanat
Abca3
Abcb1a
Abcc1
Acsbg1
Adam9
Agl
Agtr1a
Agtr1b
Agtr2
Agxt
Alad
Aldh3a1
Alpl
Anxa1
Aqp1
Areg
Ass1
Atp5f1a
Avpr1a
Axin2
Bche
Bcl2
Bmi1
Bmp4
Bmp6
Cad
Calcr
Calm1
Calm2
Calm3
Casp3
Casp9
Ccl2
Ccnd1
Cdo1
Cebpa
Cldn1
Comt
Cpe
Cpn1
Cps1
Crh
Ctsl
Cxcl2
Ddit4
Dusp1
Edn1
Eif4e
Eif4ebp1
Ep300
Ephx1
Epo
Errfi1
Etnppl
Fam107a
Fas
Fbxo32
Fech
Fkrp
Fos
Fosb
Fosl2
Foxo1
Foxo3
Gba1
Gdnf
Ghrhr
Ghsr
Gkn2
Glb1
Got1
Gpr83
Gsk3a
Gsk3b
Gstp1
Hdac3
Hdac6
Hmgb1
Hmgcs2
Hnmt
Hnrnpu
Hsd11b2
Htr7
Ifna
Ifnb1
Igfbp2
Il10
Il17a
Il1rn
Il6
Isl1
Jak2
Klf9
Kras
Lcat
Map2k1
Mdk
Mettl21c
Mir155
Mir21a
Mstn
Myod1
Nefl
Npas4
Nr3c1
Nr3c2
Ntrk3
Oxt
Pappa
Pck1
Pck2
Pcna
Pdcd7
Pdx1
Pik3ca
Pik3r1
Por
Prkn
Ptgds
Ptpru
Rest
Rpl32
Rps6kb1
Rxra
S100b
Scgb1a1
Serpinf1
Slco1b2
Slit3
Smyd3
Sstr2
Sstr4
Sstr5
Star
Stc1
Sult1a1
Tat
Tbx2
Tgfb1
Tnf
Trh
Trim63
Ube2l3
Ucn
Ucn3
Ucp2
Ucp3
Ugt1a6a
Ugt1a6b
Usp8
Zfp36
Zfp36l1
Zfp36l2
Zfp747
Zfp747l1
Zfp764
mt-Nd3
