Acp5
Axl
Azi2
Card9
Cd36
Chrna7
Fcer1g
Foxp3
Frmd8
Gstcd
Gusb
Hsf1
Ighe
Lbp
Mapk14
Mapkapk2
Myd88
Nfatc4
Nod1
Nod2
Pik3r1
Psen2
Ripk2
Sash3
Slamf9
Spon2
Ticam1
Tirap
Tlr2
Tlr4
Twist1
Twist2
Wdr83
Zg16
