Abcb1a
Abhd2
Acod1
Adh1
Cav1
Cbr1
Cbr1b
Ccl2
Cldn4
Csn1s1
Dsg2
Errfi1
Fos
Fosb
Gabrb1
Gpi1
Hspa8
Mbp
Ncoa1
Ncoa2
Nkx2-2
Nr1h3
Oxt
Ptger2
Rela
Sox10
Src
Srebf1
Tacr1
Tgfb1
Tgfb2
Tgfb3
Trerf1
Tspo
Txnip
Ube3a
Vps54
Wbp2
Yap1
