6430550D23Rik
Inpp5e
Inppl1
Insig1
Insig2
Ip6k1
Ip6k2
Ip6k3
Isyna1
Itpka
Itpkb
Itpkc
Kat2b
Kat5
Kdsr
Klhl25
Lbr
Lcat
Lclat1
Lias
Lipa
Lipc
Lipg
Liph
Lpcat1
Lpcat2
Lpcat2b
Lpcat3
Lpcat4
Lpgat1
Lpin1
Lpin2
Lpin3
Lpl
Lss
Ltc4s
Mboat1
Mboat2
Mboat7
Mcat
Mecr
Med1
Mgll
Mif
Mlxipl
Mlycd
Mogat1
Mogat2
Mppe1
Msmo1
Mtmr3
Mtmr4
Mvd
Mvk
Myo5a
Ndufab1
Npc1l1
Nr1h3
Nsdhl
Nus1
Olah
Ormdl1
Ormdl2
Ormdl3
Osbp
Oxsm
P2rx1
P2rx7
Pam
Pbx1
Pcyt1a
Pcyt1b
Pcyt2
Pdss1
Pdss2
Pecr
Peds1
Pemt
Pex7
Pgap1
Pgap2
Pgap3
Pgap4
Pgs1
Pi4k2a
Pi4k2b
Pi4ka
Pi4kb
Piga
Pigb
Pigc
Pigf
Pigg
Pigh
Pigk
Pigl
Pigm
Pign
Pigo
Pigp
Pigq
Pigs
Pigt
Pigu
Pigv
Pigw
Pigx
Pigyl
Pigz
Pik3c2a
Pik3c2b
Pik3c2g
Pik3c3
Pik3ca
Pik3cb
Pik3cd
Pik3cg
Pik3r1
Pik3r4
Pip4k2a
Pip4k2b
Pip4k2c
Pip5k1a
Pip5k1b
Pip5k1c
Pip5kl1
Pisd
Pla2g10
Pla2g15
Pla2g1b
Pla2g2a
Pla2g4a
Pla2g4c
Pla2g4f
Pla2g5
Plaat3
Plce1
Plcg2
Pld1
Pld2
Pld6
Plp1
Plpp1
Plscr1
Pmvk
Pnlip
Pnliprp1
Pnliprp2
Pnpla1
Pnpla2
Pnpla3
Pnpla8
Ppard
Prf1
Prkaa1
Prkaa2
Prkab1
Prkab2
Prkag1
Prkag2
Prkag3
Prpf19
Prxl2b
Ptdss1
Ptdss2
Ptgds
Ptges
Ptges2
Ptges3
Ptges3l
Ptgis
Ptgs1
Ptgs2
Ptpmt1
Ptprq
Pyurf
Qki
Rbp1
Rbp2
Rdh1
Rdh10
Rdh16
Rdh16f2
Rdh19
Rdh9
Rictor
Rpe65
Samd8
Sc5d
Scarb1
Sccpdh
Scd1
Scd2
Scd3
Scd4
Scp2
Sdr42e1
Selenoi
Serac1
Serinc1
Serinc4
Serinc5
Serpina12
Sgms1
Sgms2
Sh3glb1
Sh3yl1
Sik2
Sirt1
Sirt2
Slc27a5
Slc30a5
Slc35c1
Smg1
Smpd1
Smpd2
Smpd4
Smpd5
Spata18
Sphk1
Sphk2
Sptlc1
Sptlc2
Sptlc3
Sptssa
Sptssb
Sqle
Srd5a1
Srd5a2
Srd5a3
Srebf1
St3gal1
St3gal2
St3gal3
St3gal4
St3gal6
St6galnac1
St6galnac3
St6galnac4
St6galnac5
St6galnac6
St8sia2
St8sia3
St8sia4
St8sia5
St8sia6
Star
Stard3
Tamm41
Tbxas1
Tecr
Tecrl
Thnsl2
Tlcd3b
Tm7sf2
Tm9sf2
Tmem135
Tmem150a
Tmem38b
Tmem68
Tmx1
Tspo
Ttc7
Ttc7b
Ube3c
Ubr4
Ugcg
Ugt8a
Uvrag
Vac14
Vapa
Zranb1
