Abcb11
Abcc2
Abcc3
Abcc4
Abcd3
Atp8b1
Ceacam1
Ceacam2
Hnf1a
Slc10a1
Slc10a2
Slc10a3
Slc10a4
Slc10a4-ps
Slc10a5
Slc10a6
Slc10a7
Slc51a
Slc51b
Slco1a1
Slco1a4
Slco1a5
Slco1a6
Slco1a7
Slco1a8
Slco1b2
Slco1c1
Slco2b1
