Abca1
Abcb1a
Ada
Alad
Aldh1a2
Alpl
Ascl1
Bche
Becn1
Bglap
Bglap2
Bglap3
Bmp7
Casr
Cat
Cbs
Ccl2
Ccnd1
Cdkn2d
Cdon
Cebpa
Col1a1
Cyp1a1
Cyp24a1
Cyp26b1
Cyp27b1
Dnmt3a
Eef2
Eif2ak2
Enpp1
Epo
F5
F7
Fes
Folr1
Folr2
Gas6
Gdap1
Gpx1
Gstp1
Gstt1
Hlcs
Itga2
Kdm6a
Kl
Kynu
Lep
Lipa
Lrat
Lrp6
Map1b
Mdm2
Nfkbiz
Otc
Pdia3
Pdx1
Pemt
Penk
Phex
Postn
Ppard
Rara
Rbp1
Rela
Scap
Serpina7
Sfrp1
Slc22a4
Sod2
Spp1
Srsf2
Stc1
Stc2
Tgfb1
Tnc
Tpcn2
Trim25
Tspo
Tyr
mt-Cytb
