Acap2
Akt1
Arf6
Avp
Bdnf
Calca
Cbl
Cd2ap
Cdc5l
Cdc5lrt1
Cdc5lrt10
Cdc5lrt4
Cdc5lrt5
Cdc5lrt6
Cdc5lrt7
Cdc5lrt8
Cdc5lrt9
Cib1
Coro1a
Creb1
Crk
Csnk1e
Cstf2
Dlg1
Dync1li1
Dync1li2
E2f1
Eef2
Eef2k
Ehd1
Foxo3
Gria1
Gria2
Grip1
Hes1
Kat2a
Kcnc1
Kcnc2
Kidins220
Lcn2
Magi2
Micall1
Nfkb1
Ngf
Ntf3
Ntf5
Ntrk1
Ntrk2
Ntrk3
Parp1
Ptpn1
Rab35
Rap1a
Rapgef1
Rapgef2
Sh3gl2
Shoc2
Sort1
Stmn2
Tac1
Tmem108
Usp8
Wasf1
