Aacs
Acvr1c
Acvr2b
Adcy8
Adipoq
Adipor2
Ang2
Angpt2
Apoa2
Apoc3
Aqp4
Camp
Car1
Casp3
Casp6
Casr
Cat
Ccl2
Col1a1
Col6a2
Ctsl
Cyba
Cyp7a1
Egr1
Eif2b1
Eif2b2
Eif2b3
Eif2b4
Eif2b5
Elavl1
Endog
Ep300
Ern1
Fam3a
Fkbp1b
Foxo3
Fut1
Gas6
Gck
Gckr
Gclc
Gclm
Ghrhr
Gip
Gipr
Gjb6
Gjd3
Glp1r
Glul
Gpam
Gper1
Gpld1
Gpr82
Gpx1
Grk2
Gstp1
Guca2b
Gys2
Hid1
Hmga1
Hmgcs2
Hnf1a
Hnf1b
Hnf4a
Icam1
Igf1
Igf1r
Ildr2
Ins1
Irs2
Itga2
Jagn1
Kat5
Kcnb1
Kcnj11
Khk
Lcn2
Lep
Lin28a
Mafa
Mir130a
Mir192
Mir200a
Mir27a
Mir320
Mir337
Mir369
Mir379
Mir410
Mir532
Mlxipl
Ncf1
Ncf2
Neurod1
Nkx2-2
Nnat
Nox4
Nptx1
Nr0b2
Ogt
Oprk1
Pax2
Pck1
Pck2
Pdx1
Pfkfb2
Pfkl
Pik3ca
Plcb1
Ppara
Ppard
Ppp3ca
Prkaa1
Prkaa2
Prkaca
Prlh
Rab34
Rack1
Rasal2
Rmi1
Rptor
Sarm1
Selenos
Selenot
Serpinf1
Sesn2
Sgcb
Sidt2
Sin3a
Slc12a6
Slc12a7
Slc26a6
Slc29a1
Slc2a5
Slc30a8
Slc39a14
Smad2
Smad3
Smad4
Sod2
Sox4
Srebf1
Srf
Star
Tcf7l2
Tgfb1
Thbs1
Tra2b
Trem2
Trh
Txnip
Ucn3
Ucp2
Unc13b
Usf1
Usf2
Vamp2
Vcam1
Xbp1
Zbed3
Zbtb20
