Abcc4
Cd74
Daglb
Hpgds
Lep
Mif
Nos2
P2rx7
Pla2g10
Pla2g2a
Pla2g4a
Pla2g4f
Pnpla8
Prxl2b
Ptgds
Ptges
Ptges2
Ptges3
Ptges3l
Ptgis
Ptgs1
Ptgs2
Tbxas1
