Abo
Acadm
Akr1a1
Akr1b1
Akt1
Akt2
Aldob
Aldoc
Atf3
Atf4
B3galnt1
B3galt1
B3galt2
B3gat2
B4galt1
C1qtnf12
Car5a
Chst10
Chst11
Chst12
Chst14
Chst15
Chst8
Chst9
Crtc2
Cry1
Eno1
Eno2
Ep300
Epm2a
Epm2aip1
Ext1
Ext2
Fbp1
Fbp2
Foxo1
Fut1
Fut2
Fut9
G6pc1
G6pc2
G6pc3
G6pd2
G6pdx
Gapdh
Gbe1
Gcg
Gck
Gm10768
Gnpda1
Got1
Gpd1
Gpd2
Gpi1
Gpt2
Gsto1
Gulo
Gyg1
Gys1
Gys2
Has1
Has2
Has3
Kat2a
Kat2b
Lalba
Lep
Lepr
Mdh1
Mdh2
Mgat2
Mpdu1
Nans
Ndst1
Nhlrc1
Nr1d1
Parp1
Pck1
Pck2
Pcx
Per2
Pfkfb1
Pfkfb2
Pfkfb4
Pgam1
Pgam2
Pgd
Pgk1
Pgk2
Pgm1
Pgm2
Pgp
Ppara
Ppargc1a
Ppp1r3c
Ppp1r3g
Ppp4r3a
Ppp4r3b
Ptges3
Rbp4
Rgn
Sds
Sec1
Serpina12
Sirt1
Sirt6
Slc25a10
Slc25a11
Slc25a13
Slc37a4
Slc39a14
Sord
St3gal2
St3gal4
St6galnac1
St6galnac5
St6galnac6
St8sia6
Tpi1
Ugp2
Ugt1a6a
Wdr5
