Abcg2
Acaca
Acacb
Acat1
Acly
Acot7
Acsl1
Acsl4
Acsl5
Acsl6
Acss1
Acss2
Ada
Adal
Adcy1
Adcy10
Adcy2
Adcy3
Adcy4
Adcy5
Adcy6
Adcy7
Adcy8
Adcy9
Adk
Adsl
Adss1
Adss2
Afmid
Ak1
Ak2
Ak3
Ak4
Aldoa
Ampd1
Ampd2
Ampd3
Aprt
Aspdh
Atg5lrt
Atic
Atp5f1a
Atp5f1b
Atp5f1c
Atp5f1d
Atp5f1e
Atp5mc1
Atp5mc2
Atp5mc3
Atp5me
Atp5mf
Atp5mg
Atp5pb
Atp5pd
Atp5pf
Atp5po
Cartpt
Coasy
Cox11
Dcakd
Dck
Dguok
Dip2a
Dlat
Dld
Dlst
Dmac2l
Dnajc30
Elovl1
Elovl3
Elovl4
Elovl5
Elovl6
Elovl7
Fam3a
G6pdx
Gart
Gcdh
Gmpr
Gmpr2
Gmps
Gucy1a1
Gucy1b1
Gucy2c
Gucy2d
Gucy2e
Gucy2f
Gucy2g
Guk1
Haao
Hprt1
Idh2
Ido1
Ido2
Impdh1
Impdh2
Kmo
Kynu
Ldhc
Ldhd
Letmd1
Lipa
Mlycd
Mmaa
Mmut
Mpc1
Mpc2
Mtap
Mthfd1
Mthfd2l
Nadk
Nadk2
Nadsyn1
Nampt
Naprt
Ndufa1
Ndufa10
Ndufa11
Ndufa12
Ndufa13
Ndufa2
Ndufa3
Ndufa5
Ndufa6
Ndufa7
Ndufa8
Ndufa9
Ndufab1
Ndufb1
Ndufb10
Ndufb11
Ndufb2
Ndufb3
Ndufb4
Ndufb5
Ndufb6
Ndufb7
Ndufb8
Ndufb9
Ndufc1
Ndufc2
Ndufs1
Ndufs2
Ndufs3
Ndufs4
Ndufs5
Ndufs6
Ndufs7
Ndufs8
Ndufv1
Ndufv2
Ndufv3
Nme1
Nme2
Nme3
Nme4
Nme5
Nme6
Nme7
Nme9
Nmnat1
Nmnat2
Nmnat3
Nmrk1
Nmrk2
Nppa
Nppb
Nppc
Npr1
Npr2
Npr3
Nt5e
Ntsr1
Nudt2
Oas1a
Oasl2
Ogdh
Ostn
Paics
Pank1
Pank2
Pank3
Pank4
Papss1
Papss2
Pdha1
Pdha2
Pdhb
Pdhx
Pfas
Pgm2
Pnp
Pnp2
Ppat
Ppcdc
Ppcs
Prps1
Prps1l1
Prps1l3
Prps2
Prpsap1
Prpsap2
Ptger3
Ptger4
Pth2
Qprt
Sdha
Sdhb
Sdhc
Sdhd
Shmt1
Slc25a13
Slc25a16
Slc25a42
Slc25a51
Slc4a7
Spp1
Stoml2
Tgfb1
Uqcc3
Vdac1
mt-Atp6
mt-Atp8
mt-Nd1
mt-Nd2
mt-Nd3
mt-Nd4
mt-Nd4l
mt-Nd5
mt-Nd6
