Ak9
Cad
Cda
Cmpk1
Ctps1
Ctps2
Dck
Dhodh
Nme1
Nme2
Nme3
Nme4
Nme5
Nme6
Nme7
Nme9
Uck1
Uck2
Uckl1
Umps
Upp1
Upp2
Uprt
