Abcc9
Azi2
Blvra
Cd226
Cd4
Dbh
Dysf
Ephb6
Fabp4
Fbn1
Fosl2
Foxp3
G6pdx
Gpr108
Gpr141
Hbb
Heatr9
Il33
Il36a
Il36b
Il36g
Irak4
Kcnj8
Lcp2
Lilrb4a
Lipa
Maf
Mir1896
Mir409
Mir883b
Nfat5
Nfatc2
Nfatc2ip
Nfkb1
Nfkbiz
Nqo1
Psg22
Ptafr
Rel
S100a7a
S1pr3
Slc1a1
Slc37a4
Tnfsf13b
Tnfsf15
Trem1
Trem3
Tut4
Usp25
Wnt3a
Wnt5a
Zg16
