Atf4
Atp1a3
Bdnf
Cacna1a
Cacnb4
Cit
Gabbr1
Gabbr2
Gabra1
Gabra2
Gabra3
Gabra4
Gabra5
Gabra6
Gabrb1
Gabrb2
Gabrb3
Gabrd
Gabre
Gabrg1
Gabrg2
Gabrg3
Gabrq
Gabrr2
Gnai2
Gpr156
Htr1a
Htr4
Phf24
Pianp
Plcl1
Plcl2
Shisa7
Slc12a2
