Aacs
Aanat
Abat
Abca1
Abcb1a
Acaca
Actc1
Adal
Adam15
Adcy1
Adcy2
Adcy3
Adcy5
Adcy6
Adcy7
Adcy8
Adh1
Adh7
Adipor2
Adra2a
Agtr1a
Ahr
Akap8
Akr1c18
Akt1
Alad
Alas1
Aldh1a1
Ankrd13c
Anxa7
Apobec1
Ar
Arpc2
Arsa
Atp5f1a
Atp5mc1
Atp5mc2
Atp5mc3
Avp
Avpr1a
Bak1
Bcl2
Bcl2l1
Birc2
Blm
Borcs7
Brca1
Btg2
Cacna1b
Cad
Calm1
Calm2
Calm3
Car3
Card9
Casp8
Casp9
Cat
Cbl
Ccl19
Ccl2
Ccl21a
Ccl21b
Ccl21d
Ccl21e
Ccl21f
Ccl3
Ccl7
Ccnd1
Ccr5
Ccr7
Cd14
Cd27
Cda
Cdh1
Cdk1
Cdk4
Cdo1
Ces1a
Ces1e
Ces1f
Cftr
Chrna7
Chrnb2
Cldn1
Cldn18
Cldn3
Cldn5
Cnr1
Comt
Cps1
Cpt1a
Creb1
Crh
Csn1s1
Ctnna1
Ctnnb1
Cyba
Cybb
Cyp27b1
Cyp7a1
Dag1
Dbh
Dmap1
Dnmt3a
Drd2
Drd3
Dynap
Eef1b2
Eef2
Efna5
Elk1
Epha5
F7
Fancb
Fbp1
Fdx1
Fech
Fgf15
Fgf2
Fkbp5
Fkrp
Fos
Fosb
Foxo3
Foxp3
Fyn
G6pd2
G6pdx
Gabbr1
Gata3
Ggh
Ggt1
Ghr
Gk
Gkn2
Glb1
Glra1
Glra2
Glra3
Gnai1
Gnaq
Gnas
Gnrh1
Golph3
Got2
Gpld1
Gpr155
Gramd1a
Gramd1b
Gramd1c
Gria1
Grin1
Grin2a
Grin2b
Grin3a
Grip1
Gstp1
H6pd
Hcn2
Hcrt
Hdac6
Hdac8
Hmgcs2
Hnf1a
Hnrnpd
Hoxa1
Hpgd
Hrh3
Hspa8
Htr1b
Htr7
Ifitm5
Igf1
Igf1r
Il2
Inhba
Inhbb
Ireb2
Irs1
Itpr2
Jun
Jund
Jup
Kcnc2
Kcnmb1
Klf9
Larp1
Lct
Lep
Lipa
Lrp6
Lrp8
Map4k1
Mdm2
Mir10a
Mir10b
Mir145a
Mir152
Mir154
Mir200a
Mir296
Mir29c
Mir30a
Mir30e
Mir339
Mir362
Mir496a
Mir9-1
Mir9-2
Mir9-3
Mlc1
Mstn
Myd88
Nanog
Ncam1
Nedd8
Nefl
Nfe2l1
Nlrp3
Npas4
Nppc
Nr0b2
Nr3c1
Nr3c2
Ntrk3
Oprd1
Oprk1
Oprm1
Osbpl7
Oxct1
Oxt
P2ry4
P2ry6
Pck1
Penk
Pf4
Phb1
Pld2
Pmvk
Polb
Ppara
Ppp1r9b
Prkaa1
Prkaa2
Prkca
Prkce
Prkd1
Prkn
Psmd14
Ptch1
Pten
Ptgdr
Ptger1
Ptger2
Ptger3
Ptger4
Ptgfr
Rad51
Rap1a
Rap1b
Rara
Recql5
Rela
Rgs2
Rpl27
Rps6
S100b
Scn11a
Scnn1a
Scnn1b
Scnn1g
Sdf4
Serpina1a
Serpina1b
Serpina1d
Serpina1e
Setd7
Sfrp1
Sgk1
Shh
Sirt1
Slc10a1
Slc12a3
Slc23a2
Slc2a4
Slc5a5
Slc6a3
Slit3
Smad2
Smo
Sod1
Sod2
Sox2
Sphk2
Spi1
Spidr
Srebf1
Star
Stat3
Stk39
Tacr1
Tbxa2r
Tbxas1
Tgfb1
Tgfbr1
Tgfbr2
Tgfbr3
Th
Tlr4
Tnc
Tnfrsf11a
Tnfsf4
Trh
Trp53inp1
Tspo
Ucn3
Ucp1
Vhl
Zfp212
mt-Co2
mt-Cytb
mt-Nd4
