Abcd1
Abcd2
Abcd3
Abhd1
Abhd2
Abhd3
Acaa1a
Acaa1b
Acaca
Acacb
Acly
Acot7
Acot8
Acox1
Acsbg1
Acsbg2
Acsbg3
Acsf3
Acsl1
Acsl3
Acsl4
Acsm1
Acsm2
Acsm3
Acsm4
Acsm5
Acss1
Acss2
Alox12
Alox12b
Alox15
Alox5
Alox8
Aloxe3
Asah2
Brca1
Cbr4
Cd74
Daglb
Decr2
Degs1
Ehhadh
Elovl1
Elovl2
Elovl3
Elovl4
Elovl5
Elovl6
Elovl7
Fa2h
Fabp1
Fads1
Fads2
Fads2b
Fads3
Fads6
Fasn
Gstm1
Gstm2
Gstm4
Gstm7
Gstp1
Gstp2
Gstp3
Hacd1
Hacd2
Hacd3
Hacd4
Hnf1a
Hpgds
Hsd17b12
Hsd17b4
Hsd17b8
Htd2
Kat2b
Klhl25
Lias
Lipc
Lipg
Lpl
Ltc4s
Mcat
Mecr
Mgll
Mif
Mlycd
Myo5a
Ndufab1
Nr1h3
Olah
Oxsm
Pecr
Pla2g10
Pla2g1b
Pla2g2a
Pla2g4a
Pla2g4f
Plp1
Pnlip
Pnliprp1
Pnliprp2
Pnpla8
Prkaa1
Prkaa2
Prkab1
Prkab2
Prkag1
Prkag2
Prkag3
Prxl2b
Ptgds
Ptges
Ptges2
Ptges3
Ptges3l
Ptgis
Ptgs1
Ptgs2
Qki
Scd1
Scd2
Scd3
Scd4
Scp2
Sirt2
Tbxas1
Tecr
Tecrl
Thnsl2
Tmem135
Ubr4
