A4gnt
Atp7a
B4galt1
B4galt5
Fkrp
Gal3st2
Gal3st2c
Gal3st4
Gcnt1
Golph3
Large1
Phlda1
St3gal2
St3gal4
Tmem106a
Tnip1
Trex1
