Aldoa
Cacna1h
Cyp11b1
Cyp11b2
Eno1
Gapdh
Gpd1
Kdm3a
Mdh1
Mdh2
Pck1
Pcx
Pdxk
Pgam1
Pgk1
Pnpo
Slc25a10
Tkt
Tpi1
