Abat
Aco1
Alad
Atg5
B2m
Bcl2
Becn1
Bmp6
Casp6
Ccnb1
Ccnd1
Cpox
Cybrd1
Cyp1a1
Drd2
Fxn
Hamp
Hamp2
Hfe
Hif1a
Ireb2
Lcn2
Lct
Map1lc3a
Mdm2
Pdx1
Slc11a2
Slc25a39
Slc39a8
Slc6a3
Snca
Steap2
Tfap2a
Tfr2
Tfrc
Trf
