Aanat
Abcc9
Acer1
Adam9
Adcy1
Adcy8
Add1
Adgrv1
Ahcyl1
Akap5
Akt1
Alox15
Alox5ap
Amelx
Anxa11
Anxa5
Anxa7
Apobec1
Asph
Braf
Cacna1a
Cacna1b
Cacna1c
Cacna1d
Cacna1e
Cacna1f
Cacna1s
Cacng2
Calm1
Calm2
Calm3
Calml3
Capn3
Carf
Casr
Cav1
Ccnd1
Chp2
Clic4
Cpne1
Cpne2
Cpne3
Cpne4
Cpne5
Cpne6
Cpne7
Cpne8
Cpne9
Crhbp
Crp
Dpep1
Dusp1
Ect2
Edn1
Eef2k
Egfr
Endog
Entpd6
Ep300
Fga
Fgb
Fgg
Fos
Fosb
Gdi1
Gipr
Grxcr1
Guca1a
Hcn1
Hnrnpd
Homer1
Hpca
Htt
Inhbb
Iqgap1
Itpka
Itpkb
Itpkc
Itpr3
Jun
Junb
Jund
Kcnb1
Kcnh1
Kcnma1
Kcnmb1
Kcnmb2
Kcnmb3
Kcnmb4
Kcnq2
Kcnq3
Krt10
Lce1d
Lcn6
Lgmn
Mcoln1
Mef2a
Mef2c
Micu1
Micu2
Micu3
Mnat1
Mttp
Mylk
Nalf1
Nalf2
Ncstn
Neurod2
Nfatc1
Nfatc2
Nfatc3
Nlgn1
Nrxn1
P2rx5
P2rx7
Pawr
Pcdh15
Pdcd6
Pde1c
Pef1
Penk
Pkd2
Pla2g4a
Plcd1
Plcg2
Ppif
Ppp3ca
Prkaa1
Prkaa2
Rasa4
Rasal1
Rasgrp2
Ryr1
Ryr2
Ryr3
S100a16
Scn5a
Sec31a
Slc24a2
Slc24a4
Slc25a12
Slc25a13
Slc25a23
Slc25a24
Slc8a1
Slc8a2
Slc8a3
Smdt1
Smpd1
Stim1
Sucnr1
Syt1
Syt3
Thbs1
Tnnt2
Trpc1
Trpc3
Trpm1
Trpm2
Trpv1
Trpv2
Trpv3
Trpv4
Trpv5
Trpv6
Ttn
Tuba1a
Txnip
Vps54
Wnk1
Wnt5a
mt-Cytb
