Akr1a1
Akr1b1
Ces1e
Cyp24a1
Cyp27a1
Cyp27b1
Cyp2r1
Gsto1
Gulo
Pdxk
Pltp
Pnpo
Rfk
Rgn
Slc19a2
Slc19a3
Slc25a19
Thtpa
Tpk1
Ubiad1
Ugt1a6a
Vkorc1
