Ash1l
Azi2
Bank1
Card9
Cd36
Chrna7
Fcer1g
Foxp3
Gpr141
Ighe
Il18
Il18rap
Il19
Il1b
Il36a
Il36b
Il36g
Il36rn
Myd88
Nlrx1
Nod1
Nod2
P2rx7
Prg4
Psen2
Rabgef1
Ripk2
Spon2
Ticam1
Tlr2
Tlr3
Tlr4
Tlr7
Tnf
Trim55
Wdr83
Zg16
