Acvr1c
Acvr2b
Adcyap1
Anxa1
Anxa7
Atg7
Cacna1c
Ccdc186
Cckar
Cltrn
Cpe
Cplx1
Cplx3
Cyb5r4
Dgat1
Fam3a
Fam3b
Ffar1
Fkbp1b
Glp1r
Gpr119
Gpr39
Gpr68
Hif1a
Hmga1
Hnf1a
Hnf1b
Htt
Il1rn
Ildr2
Jagn1
Lep
Mafa
Mc4r
Myo5a
Neurod1
Nnat
Park7
Pclo
Pdx1
Prkce
Ptprn
Ptprn2
Rab11b
Rab11fip2
Rab11fip5
Rab3a
Raf1
Rapgef4
Rbm4
Rims2
Selenot
Serp1
Slc18a2
Slc30a8
Smad2
Snap25
Snord32a
Snord33
Snord34
Snord35a
Snx19
Srebf1
Stx1a
Stxbp3
Sytl4
Vgf
