Mir150
Mir154
Mir1897
Mir22
Mir23a
Mir24-2
Mir27a
Mir301
Mir3072
Mir369
Mir376a
Mir376b
Mir376c
Mir377
Mir382
Mir409
Mir487b
Mir495
Mir496a
Mir539
Mir543
Mir544
Mir654
Mir666
Mir667
