Ccl1
Cntnap2
Cxcl1
Cxcl10
Dcp1b
Fmr1
Il1b
Il6
Mir1896
Mir409
Nfkb1
Nfkbiz
Shank3
Socs3
Srsf1
Stat3
Traf3ip2
