Abcc1
Acod1
Actg1
Actr2
Actr3
Adamts13
Aif1
Aqp4
Ass1
Atf3
Atl2
Atl3
Bst2
Calcoco2
Calm1
Calm2
Calm3
Camk2a
Capg
Casp1
Ccl2
Ccl5
Cd200
Cd47
Cd74
Cdc42
Cdc42ep2
Cdc42ep4
Ciita
Cited1
Cldn1
Csprs
Cxcl16
Cyp27b1
Dapk1
Dapk3
Daxx
Dnaja3
Edn1
Eprs1
Epsti1
Evl
Fasl
Flnb
Gapdh
Gapdhrt
Gapdhrt2
Gbp10
Gbp2
Gbp2b
Gbp3
Gbp4
Gbp5
Gbp6
Gbp7
Gbp8
Gbp9
Gch1
Gimap6
Gpr146
Gsn
H2-Q7
H2-Q9
Ifitm1
Ifitm2
Ifitm3
Ifitm6
Ifitm7
Igtp
Il12b
Il12rb1
Il23r
Irf8
Irgm1
Kif16b
Kif5b
Kynu
Lcn10
Mefv
Mir511
Mrc1
Myo18a
Myo1c
Nos2
Nub1
Pde12
Pim1
Rab11fip5
Rab12
Rab20
Rab43
Rab7b
Rpl13a
Rps6kb1
Sec61a1
Shfl
Sirpa
Slc11a1
Slc22a21
Slc22a5
Slc26a6
Slc30a8
Slk
Snca
Sp100
Star
Stat1
Stx11
Stx4a
Stx8
Stxbp1
Stxbp2
Stxbp3
Stxbp4
Syncrip
Tgtp1
Tlr2
Tlr3
Tlr4
Tnf
Trim21
Ubd
Vamp3
Vamp4
Vamp8
Vim
Vps26b
Was
Wnt5a
Zfp697
Zyx
