Abca1
Acvr1c
Acvr2b
Adcyap1
Agt
Anxa1
Anxa7
Aqp1
Atg7
Bdh2
Bloc1s6
Cacna1c
Cartpt
Ccdc186
Cckar
Cdk16
Cltrn
Cpe
Cplx1
Cplx3
Crhr1
Cryaa
Cwh43
Cyb5r4
Dgat1
Dio2
Dmd
Ecrg4
Edn1
Edn3
Exoc3l
Fam3a
Fam3b
Ffar1
Ffar4
Fkbp1b
Furin
Gclc
Gclm
Ggt1
Ggt5
Ggt6
Ggt7
Ghrh
Ghrhr
Ghsr
Glp1r
Gpr119
Gpr39
Gpr68
Gss
Hagh
Hif1a
Hmga1
Hnf1a
Hnf1b
Htt
Il1rn
Il6
Ildr1
Ildr2
Jagn1
Klk1b1
Lep
Lgals4
Lgals6
Mafa
Mc4r
Mgst2
Mmp7
Myo5a
Neurod1
Nnat
Nod2
Npff
Park7
Pclo
Pcsk1
Pcsk5
Pdx1
Prkce
Ptprn
Ptprn2
Rab11b
Rab11fip2
Rab11fip5
Rab1a
Rab3a
Raf1
Rapgef4
Rbm4
Rims2
S100a8
S100a9
Selenot
Serp1
Slc16a10
Slc16a2
Slc18a2
Slc1a1
Slc1a2
Slc30a8
Smad2
Smpd3
Snap25
Snord32a
Snord33
Snord34
Snord35a
Snx19
Srebf1
Stx1a
Stxbp3
Sytl4
Tacr2
Trpv1
Trpv4
Ube2q1
Vgf
Vip
