Acsl1
Acsl4
Acsl6
Agmo
Agpat2
Dgat1
Dgat2
Gk
Gpam
Gpat2
Gpat3
Gpat4
Kat5
Lpgat1
Lpin1
Lpin2
Lpin3
Lpl
Mogat1
Mogat2
Pnpla3
Rbp2
Sirt1
Tmem68
Tmx1
