Akr1a1
Akr1b1
Akt1
Aldob
Aldoc
Atf3
Atf4
C1qtnf12
Car5a
Chst15
Crtc2
Cry1
Eno1
Eno2
Ep300
Fbp1
Fbp2
Foxo1
G6pc1
G6pc2
G6pc3
G6pd2
G6pdx
Gapdh
Gcg
Gm10768
Gnpda1
Got1
Gpd1
Gpd2
Gpi1
Gpt2
Gsto1
Gulo
Kat2a
Kat2b
Lepr
Mdh1
Mdh2
Pck1
Pck2
Pcx
Per2
Pfkfb1
Pfkfb2
Pfkfb4
Pgam1
Pgam2
Pgd
Pgk1
Pgk2
Ppara
Ppargc1a
Ppp4r3a
Ppp4r3b
Rbp4
Rgn
Sds
Serpina12
Sirt1
Sirt6
Slc25a10
Slc25a11
Slc25a13
Slc37a4
Slc39a14
Sord
Tpi1
Ugt1a6a
Wdr5
