Abcc1
Abl1
Avpr2
Azi2
Bcl3
Cd3e
Enpp1
Eomes
Foxp3
Gadd45g
Gata3
Gpr141
Hspd1
Ifnar1
Il12a
Il12b
Il12rb2
Il18
Il18r1
Il18rap
Il20rb
Il21
Irf8
Itk
Kctd9
Klre1
Klrk1
Lta
Nfkbiz
Nod2
Ripk2
Rnf19b
Runx3
Sash3
Scgb1a1
Sh2d1b1
Slc11a1
Tcirg1
Tlr4
Tnf
Txk
Vtcn1
Zg16
