Acp5
Aim2
Casp1
Casp4
Chrna7
Eif2ak3
Ern1
Gorasp2
Il1b
Mr1
Nlrp1b
Nlrp3
Nlrp6
P2rx7
Panx1
Pycard
Slamf9
Sucnr1
Tnfaip8
