Aard
Adh1
Akr1c18
Ar
Avp
Cacna1b
Cad
Calr
Car9
Cbl
Cdk4
Cflar
Csnk2a1
Defb1
Dusp1
Edn1
Elk1
Epo
Esr2
Gba1
Gnrh1
Gpi1
Hmgcs2
Hoxa10
Hoxa11
Hoxa13
Hoxb13
Hoxd13
Hsf1
Kcnj11
Msn
Mstn
Mup1
Mup11
Ncf1
Nkx3-1
Pln
Psph
Rnf4
Rwdd1
Slco1a1
Spp1
Srd5a2
Tbxa2r
Tspo
Uts2
