Abcc9
Abl1
Adam9
Adprs
Agap3
Aldh3a2
Ambp
Ankzf1
Anxa1
Apex1
Apod
Aqp1
Areg
Atg7
Atm
Axl
Bak1
Bcl2
Becn1
Bnip3
Btk
Capn1
Capn2
Casp3
Casp6
Cat
Cbx8
Cdk1
Cdkn2a
Cfl1
Coa8
Col1a1
Col6a1
Cpe
Crk
Cryaa
Cryab
Crygd
Cryge
Crygf
Cst3
Cyp11a1
Cyp1b1
Dusp1
Ect2
Edn1
Ednra
Eef2
Epor
Ercc6
Ercc6l2
Ern1
Ezh2
Fabp1
Fchsd1
Fer
Fos
Foxo1
Fxn
Fyn
Gata5
Gja3
Gpr37
Gpr37l1
Gpx1
Gstp1
Hdac2
Hdac6
Hif1a
Hmox1
Hsf1
Hspa8
Hyal1
Hyal2
Il18rap
Il6
Jun
Kcna5
Kdm6b
Klf2
Klf4
Kpna4
Lck
Lcn2
Lig1
Lrrk2
Map1lc3a
Map3k5
Mapk13
Mapk7
Mapk8
Mapk9
Mb
Mdm2
Mmp2
Mmp3
Mpv17
Mt3
Myb
Net1
Nfe2l2
Ngb
Nme5
Nme8
Nox1
Nppa
Nqo1
Nr4a3
Nudt15
Ogg1
Oser1
Park7
Parp1
Pcgf2
Pcna
Pdgfd
Pdgfra
Pdgfrb
Pdk2
Pex10
Pex12
Pex13
Pex14
Pex2
Pex5
Pjvk
Pld2
Plekha1
Plk3
Ppef2
Ppif
Ppp1r15b
Ppp2cb
Ppp5c
Prdx1
Prdx3
Prdx5
Prdx6
Prkaa1
Prkca
Prkcd
Psap
Ptk2b
Ptprk
Ptprn
Rbfox2
Rela
Rhob
Ripk1
Ripk3
Rlig1
Rnf146
Romo1
Rps3
Scgb1a1
Setx
Sirpa
Sirt1
Sirt6
Slc4a1
Slc8a1
Smpd3
Sod1
Sod2
Sphk1
Src
Star
Stat6
Tacr1
Tet1
Tnfaip3
Top2b
Trex1
Trp53
Trpa1
Trpc6
Trpm2
Txndc2
Txnip
Txnrd2
Ucp1
Ucp2
Ucp3
Zfp277
Zfp580
mt-Nd6
