Akr1c18
Alas1
Ccna2
Ctsl
Cyp51
Edn1
Ednra
Efna5
Epha3
Epha5
Epha8
Foxl2
Fshr
Gata1
Gata4
Gata6
Gclc
Gclm
Ghsr
Inhba
Inhbb
Itga3
Lhcgr
Notch1
Npr2
Nsmf
Pax8
Pde4d
Por
Ppargc1a
Scx
Srd5a2
Star
Tgfbr3
Top1
Wt1
