Aqp1
Atp5f1a
Bcar1
Ccl19
Ccna2
Ccr7
Cflar
Crk
Dpep1
Egln1
Foxo1
Gata5
Gucy1b1
Hnrnpd
Itgav
Kcnc2
Mapk8
Mb
Mtr
Ptpn1
Scn11a
Thbs1
Traf2
Txn1
