Abcd1
Abcd2
Acaa1a
Acaa1b
Acot7
Acot8
Acox1
Acsbg1
Acsbg2
Acsbg3
Acsl4
Alox12
Alox12b
Alox15
Alox5
Alox8
Aloxe3
Asah2
Ehhadh
Elovl2
Elovl5
Elovl6
Fads1
Fads2
Gstm1
Gstm2
Gstm4
Gstm7
Gstp1
Gstp2
Gstp3
Hsd17b4
Ltc4s
Myo5a
Plp1
Ptgs1
Qki
Scp2
Tbxas1
Tmem135
