Adi1
Aldh18a1
Apip
Asl
Asns
Asnsd1
Ass1
Bcat1
Bcat2
Cbs
Cth
Enoph1
Got1
Hao1
Mri1
Mthfd1
Mthfd2l
Mtr
Mtrr
Otc
Phgdh
Psat1
Psph
Pycr1
Pycr2
Pycr3
