Abcd1
Abcd2
Adcy7
Angpt1
Apoa1
Apoa2
Apod
Appl2
Atp2b1
Axl
Bcl3
Btk
Btn2a2
Casp3
Ccl7
Ccr1
Ccr1l1
Ceacam1
Chid1
Chrna7
Cidea
Clec4a1
Clec4a2
Clec4a3
Clec4a4
Cryba1
Cuedc2
Epha2
Ephb2
Extl3
Ezh2
F2
Ffar4
Foxp3
Gbp7
Gpnmb
Hdac9
Hmox1
Ikbkb
Il10
Il1r2
Il22
Il22ra1
Jak2
Lgr4
Lrrc32
Macir
Map3k7
Mefv
Mertk
N4bp1
Ndrg2
Nfkb1
Nfkbia
Nlrc3
Nlrp12
Nptn
Otud5
Pdcd4
Pla2g10
Ppara
Pparg
Ppp1r11
Prkca
Ptger4
Pycard
Reg3g
Rela
Rgcc
Rnf128
Sirpa
Slamf1
Slc11a1
Spink7
Srgn
Stat3
Syt11
Tia1
Tlr4
Tnf
Tnfrsf4
Tnfsf4
Trem2
Twsg1
Tyrobp
Zc3h12a
Zfp36
