Abcb1a
Amigo1
Arl6ip5
Baiap2
Cln8
Creb1
Fyn
Ghsr
Gria1
Grin2d
Grm1
Hcn1
Hpca
Igf1r
Kcnb1
Kcnj10
Lmnb1
Ntsr1
Pcna
Prkn
Psen1
Slc1a1
Slc1a2
Slc1a3
Slc1a6
Slc7a11
Tmbim6
Tnf
Tuba1a
Ufl1
