Abl1
Card11
Cd247
Cd28
Cd83
Fcer1g
Fosl2
Foxp3
Gpam
Il1rap
Il20rb
Lag3
Nod2
Oscar
Pawr
Prkcq
Ripk2
Sash3
Slc11a1
Stat5a
Stat5b
