Aanat
Abcc2
Ache
Acvr1c
Agrp
Akt2
Alpl
Cad
Cat
Cd2ap
Cela2a
Cited1
Col1a1
Cp
Cry1
Cry2
Cyp27b1
Cyp51
Egr1
Egr2
Eif6
Enpp1
Epm2aip1
Errfi1
Fabp3
Fos
Foxo1
G6pc1
Galp
Gcnt1
Ggh
Ghrhr
Gpr82
Grb10
Hadh
Hadha
Hmga1
Hmgcs2
Hsd11b2
Igfbp1
Il10
Inpp5k
Inppl1
Insig2
Irs1
Jun
Kbtbd2
Kcnj8
Kcnq1
Khk
Klf15
Lep
Lnclep
Lyn
Mapk14
Mc4r
Meak7
Mir423
Mtor
Nppa
Ogt
Oprk1
Otc
Pck1
Pik3r1
Pln
Ppara
Prlh
Rbp4
Rela
Retn
Rps6
Rps6kb1
Scap
Scly
Sesn2
Sesn3
Sirt1
Slc27a1
Slc2a1
Sort1
Sp7
Srsf5
Srsf6
Stxbp3
Tnfrsf11a
Trpv4
Tsc1
Ucp3
Uprt
Vgf
Vps13c
Zbed3
Zbtb7b
