Abca1
Abl2
Acer2
Add1
Adh1
Aldh1a2
Ankk1
Aqp1
Aqp3
Ascl1
Asxl1
Atm
Bmp6
Brinp1
Brinp2
Brinp3
Ccl2
Cdkn2d
Clk2
Col1a1
Creb1
Csprs
Ctsh
Cyp26a1
Cyp26b1
Dkk1
Dnaaf2
Drd2
Dusp1
EU599041
Epha3
Gata4
Gata6
Gdap1
Gdap2
Gdap5
Gdap6
Gdap7
Gdap8
Gdap9
Gsk3b
Halr1
Hand2
Hoxa1
Hoxa2
Hsd17b2
Htra2
Igf2r
Igfbp2
Klf4
Krt13
Lefty1
Lep
Lrat
Ltk
Lyn
Map7
Mef2c
Meiosin
Mest
Mir3099
Mmp2
Mrtfa
Myb
Nanog
Ncoa1
Ndufa13
Ntrk3
Osr1
Ovca2
Oxt
Pax2
Pck1
Phc1
Pou5f1
Ptch1
Ptk2b
Ptk6
Ptk7
Rara
Rarg
Rbfox2
Rbp4
Ret
Rhox13
Rorb
Rpl36al
Runx1
Rxra
Rxrb
Scamp3
Serpinf1
Slc10a3
Slc6a4
Snrnp70
Snw1
Sox2
Sox9
Sp100
Srebf1
Star
Stra8
Suz12
Synj1
T
Tbx1
Tbx2
Tead1
Tead2
Tek
Tesc
Tfrc
Tie1
Tmem161a
Tnc
Triml2
Twf2
Yap1
Yes1
