Camp
Ccl2
Cfl1
Chi3l1
Cited1
Entpd2
Foxa2
Lcn2
Mir155
Mir21a
Myb
Nfkb1
Pck1
Phb1
Pid1
Ptgis
Ptprt
Rela
Sbno2
Selp
St3gal6
Stat4
Traf7
