Abca2
Acer1
Acer2
Acer3
Agk
Apoa1
Asah1
Asah2
Cacna1h
Ces1a
Ces1e
Ces1f
Cftr
Cyb5r3
Cyp11b1
Cyp11b2
Cyp17a1
Cyp24a1
Cyp27a1
Cyp27b1
Cyp2r1
Cyp51
Dbh
Dhcr24
Dhcr7
Dhdds
Dhfr
Dhrsx
Ebp
Ephx1
Fdft1
Fdps
G6pd2
G6pdx
Gba1
Gch1
Gm6993
Got1
Hmgcr
Hmgcs1
Hmgcs2
Hsd17b7
Idi1
Impa1
Impa2
Insig1
Insig2
Ip6k1
Ip6k2
Ip6k3
Ipmk
Ippk
Isyna1
Itpka
Itpkb
Itpkc
Lbr
Lep
Lipa
Lss
Moxd1
Moxd2
Msmo1
Mvd
Mvk
Npc1l1
Nsdhl
Nus1
Park7
Pcbd1
Pcbd2
Pck1
Pck2
Pgp
Plcg1
Plcg2
Pmvk
Pou1f1
Ppip5k1
Ppip5k2
Prkaa1
Prkaa2
Ptafr
Pts
Qdpr
Sc5d
Scp2
Sphk1
Sphk2
Spr
Sptlc1
Sptlc2
Sptlc3
Sptssa
Sptssb
Sqle
Srd5a3
Srebf1
Tm7sf2
