Adar
Axl
Bst2
Eif2ak2
Gas6
Gata3
Ifi204
Ifit1
Ifit1bl1
Ifit2
Ifitm1
Ifitm2
Ifitm3
Ifitm6
Ifitm7
Ifnar1
Ifnar2
Lamp3
Myc
Oas1a
Oas1b
Oas1c
Oas1d
Oas1e
Oas1f
Oas1g
Oas1h
Pde12
Plscr1
Ro60
Star
Tgtp1
Tpr
Traf3ip3
