Adar
Arg1
Cactin
Cdc37
Ciita
Cnot7
Cr2
Cul3
Cul4a
Dcst1
Ddb1
Dnaja3
Eif4e2
Epg5
Fadd
Gigyf2
Gm13271
Gm13272
Gm13275
Gm13276
Gm13277
Gm13283
Gpr108
Hdac4
Hpx
Ifih1
Ifitm1
Ifitm2
Ifitm3
Ifitm6
Ifitm7
Ifna1
Ifna11
Ifna12
Ifna13
Ifna14
Ifna15
Ifna16
Ifna2
Ifna4
Ifna5
Ifna6
Ifna7
Ifna9
Ifnab
Ifnar1
Ifnar2
Ifnb1
Ifne
Ifng
Ifngr1
Ifngr2
Ifnk
Ifnz
Igtp
Ikbke
Irak1
Irf1
Irf3
Irf7
Irgm1
Irgm2
Isg15
Jak1
Jak2
Lsm14a
Mavs
Med1
Mettl3
Mmp12
Morc3
Mul1
Myd88
Nlrc5
Oas1a
Oas1b
Oas1c
Oas1d
Oas1e
Oas1f
Oas1g
Oas1h
Oas2
Oas3
Oasl1
Oasl2
Otop1
Parp14
Parp9
Pik3c3
Pparg
Ptpn2
Rbm47
Rbx1
Rnf185
Samhd1
Sin3a
Smim30
Stat1
Stat2
Sting1
Tbk1
Trex1
Trim41
Trim56
Trim6
Trim65
Trp53
Ttll12
Txk
Tyk2
Ube2k
Ubr4
Usp18
Usp27x
Usp29
Wnt5a
Ythdf2
Ythdf3
Zbp1
Zswim8
