Ch25h
Cyb5r1
Cyb5r2
Cyb5r3
Cyp51
Dhcr24
Dhcr7
Ebp
Erg28
Faxdc2
Fdft1
Fdps
Hmgcr
Hmgcs1
Hmgcs2
Idi1
Insig1
Insig2
Lbr
Msmo1
Mvd
Mvk
Nsdhl
Pmvk
Prkaa1
Prkaa2
Sc5d
Sqle
Tm7sf2
