Adamts13
Alad
Ccl11
Cdk4
Cited1
Coro1a
Dcstamp
Fasn
Gata3
Hsp90ab1
Hspa5
Impdh2
Jak3
Keap1
Lef1
Mcm2
Mir511
Mrc1
Nfil3
Pml
Rpl3
Rplp0
Rps2
Rufy4
Shpk
Stat5b
Tcf7
Tuba1b
Xbp1
Xcl1
