Abcb4
Arpc2
Cav3
Cdk4
Cfl1
Crh
Cyp1a1
Foxp1
Foxp3
Golph3
Hnf1a
Hnrnpd
Ifitm5
Larp1
Lipa
Lrrk2
Mdm2
Nanog
Nfatc4
Oxt
Plcb1
Plcg1
Prkn
Ucp3
Zc3h12a
Zfp683
