Apoa1
Ces1a
Ces1e
Ces1f
Cftr
Cyb5r3
Cyp51
Dhcr24
Dhcr7
Ebp
Fdft1
Fdps
G6pd2
G6pdx
Hmgcr
Hmgcs1
Hmgcs2
Hsd17b7
Idi1
Insig1
Insig2
Lbr
Lipa
Lss
Msmo1
Mvd
Mvk
Npc1l1
Nsdhl
Pmvk
Prkaa1
Prkaa2
Sc5d
Sqle
Srebf1
Tm7sf2
