Atp12a
Atp1a1
Atp1a2
Atp1a3
Atp1a4
Atp1b1
Atp1b2
Atp1b3
Atp4a
Atp4b
Fxyd2
Nppa
Slc4a4
Slc8a1
Slc9a1
