Abcc9
Abl1
Adam9
Ankzf1
Anxa1
Apex1
Aqp1
Areg
Axl
Bak1
Bcl2
Becn1
Bnip3
Capn1
Capn2
Casp3
Casp6
Cat
Cbx8
Cdk1
Cdkn2a
Cfl1
Col1a1
Cpe
Crk
Cryaa
Cryab
Cst3
Cyp11a1
Cyp1b1
Dusp1
Ect2
Edn1
Ednra
Eef2
Ern1
Ezh2
Fabp1
Fchsd1
Foxo1
Fxn
Fyn
Gata5
Gja3
Gpx1
Hdac2
Hdac6
Hmox1
Hsf1
Hspa8
Il18rap
Il6
Jun
Kcna5
Kdm6b
Klf2
Klf4
Kpna4
Lck
Lcn2
Lig1
Map1lc3a
Map3k5
Mapk13
Mapk7
Mapk8
Mb
Mdm2
Mmp2
Myb
Net1
Nfe2l2
Ngb
Nppa
Nqo1
Nr4a3
Oser1
Park7
Pcgf2
Pcna
Pdgfd
Pdgfrb
Pld2
Plekha1
Ppef2
Ppif
Ppp1r15b
Ppp2cb
Ppp5c
Prdx3
Prkaa1
Prkcd
Ptk2b
Rbfox2
Rela
Rhob
Ripk1
Ripk3
Rnf146
Rps3
Setx
Sirpa
Sirt1
Sirt6
Slc4a1
Smpd3
Sod1
Sod2
Sphk1
Src
Star
Stat6
Tnfaip3
Top2b
Trpa1
Trpc6
Trpm2
Txnip
Zfp277
Zfp580
mt-Nd6
