Aldoa
Atp5f1a
Atp5f1b
Atp5f1c
Atp5f1d
Atp5f1e
Atp5me
Atp5mf
Atp5mg
Atp5po
Cox11
Dmac2l
Dnajc30
Fam3a
Ldhc
Ldhd
Letmd1
Lipa
Nudt2
Slc25a13
Tgfb1
Uqcc3
mt-Atp6
mt-Atp8
