Akt1s1
Bcar1
Bdnf
Bex1
Casp3
Cd2ap
Coro1a
Ddit4
Gfra1
Hap1
Kidins220
Lmtk2
Magi2
Ndn
Ngf
Ntf3
Ntf5
Ntrk1
Ntrk2
Ntrk3
Ptpn11
Raf1
Rap1a
Rapgef1
Rapgef2
Shoc2
Sort1
Sos1
Src
Zfyve27
