6430550D23Rik
Ace2
Agk
Alox12b
Aloxe3
Asah1
Asah2
B3galt1
B3galt2
B3galt4
B4galnt1
B4galt3
B4galt4
B4galt5
B4galt6
Casp1
Casp7
Cers1
Cers2
Cers3
Cers4
Cers5
Cers6
Cyp4f39
Degs1
Degs1l
Degs2
Elovl1
Fa2h
Gal3st1
Gba1
Gm6993
Gsdmd
Gzmb
Gzmc
Mecr
P2rx1
P2rx7
Pnpla1
Prf1
Samd8
Sgms1
Sgms2
Smpd1
Smpd2
Smpd4
Smpd5
Sptlc1
Sptlc2
Sptlc3
Sptssa
Sptssb
St3gal1
St3gal2
St3gal3
St6galnac1
St6galnac3
St6galnac4
St6galnac5
St6galnac6
St8sia2
St8sia3
St8sia4
St8sia6
Tlcd3b
Ugcg
Ugt8a
