Abcb1a
Acod1
Actr3
Adam10
Adam9
Adamts12
Adamts13
Adamts7
Adipoq
Aff3
Akap12
Akt1
Ankrd1
Asah1
Ass1
Bag4
Birc2
Birc3
Brca1
Cactin
Camp
Casp8
Ccl2
Ccl5
Ccr1
Cd14
Cebpa
Cfl1
Chi3l1
Chuk
Cib1
Cldn1
Col1a1
Crhbp
Cx3cl1
Cx3cr1
Cxcl16
Cyba
Dab2ip
Dbn1
Dcstamp
Edn1
Endog
Erbin
Fabp4
Fos
Gata3
Gba1
Gbp3
Gch1
Ggt1
Gpd1
Gper1
Gsdme
Has2
Hes1
Hyal1
Hyal2
Hyal3
Ikbip
Ikbkb
Il6
Inpp5k
Insr
Irf1
Jak2
Kat2a
Kcnj11
Klf2
Lcn2
Map2k7
Map3k5
Map3k7
Map4k3
Mapk1
Mapk14
Mapk3
Mir101b
Mir103-1
Mir103-2
Mir1195
Mir125b-1
Mir125b-2
Mir143
Mir146b
Mir148a
Mir1934
Mir221
Mir222
Mir331
Mir378a
Mir467b
Mir467f
Mir494
Mir690
Mir695
Myod1
Myog
Nfe2l2
Nfkb1
Nfkbia
Nkx3-1
Nmnat3
Nos2
Npnt
Nr1d1
Nub1
Ocstamp
Pck1
Pck2
Pid1
Postn
Prpf8
Pycard
Rela
Ripk1
Rora
Rps3
Rps6kb1
Sfrp1
Sgms1
Sirt1
Slc22a21
Slc22a5
Slc2a4
Smpd1
Smpd3
Smpd4
Snrnp70
Sphk1
Tank
Tnfrsf11a
Tnfrsf21
Tradd
Trim32
Tuba1a
Ubd
Wdr35
Wfdc21
Ybx3
Ythdc2
Zc3h12a
Zfand6
Zfp36
Zfp36l1
Zfp36l2
