Aanat
Abcb1a
Abcc2
Abcg2
Ache
Acvr1c
Adcy6
Adcy8
Adipoq
Adora2b
Agrp
Agt
Agtr1a
Akr1c18
Akt1
Akt2
Akt3
Alas1
Aldob
Alpl
Anxa5
Apoc3
Areg
Ass1
Atp2a1
Atp2a2
Bcar1
Bglap
Bglap2
Bmp7
Braf
Bsg
Btg1
Btg2
Cacna2d3
Cacybp
Cad
Capn1
Capn10
Car3
Cat
Cav1
Ccl2
Ccna2
Ccnd3
Cd2ap
Cdc6
Cdk2
Cdo1
Ceacam1
Ceacam2
Cela2a
Cfl1
Chuk
Cited1
Col1a1
Col3a1
Comt
Cp
Cpeb1
Cpeb2
Cps1
Creb1
Crhbp
Crhr1
Crhr2
Crk
Cry1
Cry2
Csk
Ctnnb1
Cul3
Cyba
Cybb
Cyc1
Cyfip1
Cyp11a1
Cyp11b1
Cyp11b2
Cyp27b1
Cyp51
Dag1
Ddr2
Dennd4c
Edn1
Ednra
Ednrb
Eef2k
Egr1
Egr2
Eif2b1
Eif2b2
Eif2b3
Eif2b4
Eif2b5
Eif6
Enpp1
Epm2aip1
Eprs1
Ereg
Errfi1
F7
Fabp3
Fbn1
Fbp1
Fos
Foxo1
Fut1
Fyn
G6pc1
Galp
Gatm
Gcg
Gcgr
Gck
Gclc
Gcnt1
Ggcx
Ggh
Gh
Ghrhr
Ghsr
Glp1r
Glp2r
Gnas
Gnrh1
Gnrhr
Got1
Gpam
Gper1
Gpld1
Gpr173
Gpr82
Grb10
Grb14
Gria1
Gsk3a
Gstp1
Gusb
Hadh
Hadha
Hdac9
Hhex
Hmga1
Hmgcs2
Hsd11b2
Hsf1
Igf1
Igf1r
Igfbp1
Igfbp5
Ikbkb
Il10
Il18
Inhba
Inhbb
Inpp5k
Inppl1
Ins1
Insig1
Insig2
Insr
Iqgap1
Irf1
Irs1
Irs2
Itgb3
Jun
Jund
Kat2b
Kbtbd2
Kcnj8
Kcnq1
Kdm6a
Khk
Kl
Klf11
Klf15
Klf2
Klf3
Klf4
Klf5
Lep
Lhcgr
Lnclep
Lpin1
Lpin2
Lpin3
Lrp5
Lrrc25
Lta4h
Lyn
Map1b
Map3k7
Mapk1
Mapk14
Mapkap1
Mc4r
Mdm2
Meak7
Mgarp
Mir423
Mrtfa
Mtor
Myo5a
Nefl
Nfe2l2
Nfkb1
Nkx6-1
Nono
Nos1
Nppa
Npr2
Nr4a1
Nr4a2
Nr4a3
Nr5a1
Nudc
Ogt
Oprk1
Otc
Otop1
Oxt
Pak1
Parp1
Pck1
Pck2
Pcsk9
Pdpk1
Phb1
Phex
Pik3ca
Pik3r1
Pik3r2
Pklr
Pkm
Plcb1
Plcd1
Pld1
Pld2
Pln
Pnpt1
Pomc
Por
Pou4f2
Ppara
Pparg
Prkaca
Prkar1a
Prkcb
Prkcd
Prkcg
Prkci
Prkcz
Prkd1
Prkdc
Prlh
Pten
Ptpn1
Ptprv
Rab10
Rab13
Rab31
Rab8a
Rangap1
Rb1
Rbfox2
Rbp4
Rbx1
Reg1
Reg2
Reg3a
Reg3b
Reg3d
Reg3g
Rela
Retn
Rhoq
Rock1
Rock2
Rps6
Rps6kb1
Scap
Scly
Scnn1a
Scnn1b
Scnn1g
Serpina11
Serpina1a
Serpina1b
Serpina1c
Serpina1d
Serpina1e
Serpina3c
Serpina3f
Serpina3g
Serpina3h
Serpina3i
Serpina3k
Serpina3m
Serpina3n
Serpina7
Sesn2
Sesn3
Sgk1
Shc1
Shoc2
Sirt1
Sirt6
Slc24a4
Slc25a33
Slc27a1
Slc2a1
Slc2a4
Slc30a10
Slc39a14
Slc9a1
Slco1b2
Smad3
Sorbs1
Sort1
Sp1
Sp7
Src
Srd5a2
Srebf1
Srsf5
Srsf6
Star
Stat1
Stat2
Stat3
Stat4
Stat5a
Stat5b
Stat6
Stc2
Sts
Stxbp3
Syap1
Tbc1d4
Tcf12
Tgfb1
Tgfbr3
Timp1
Tnfrsf11a
Top1
Trarg1
Trib3
Trim24
Trpv4
Tsc1
Tsc2
Tshr
Uchl3
Ucp2
Ucp3
Umodl1
Uprt
Usf1
Vamp2
Vgf
Vps13c
Wdtc1
Wnt1
Xbp1
Ywhag
Zbed3
Zbtb7b
Zfp36l1
mt-Cytb
