Asic5
Hcn2
Hcn4
Nedd4l
Scn5a
Scnn1a
Scnn1b
Scnn1g
Slc12a2
Slc34a1
Slc5a1
Slc5a2
Slc5a6
Slc6a1
Slc8a1
Slc9a1
Slc9a2
Slc9a3
Slc9a4
Slc9a5
Slc9a6
Slc9a7
Slc9a9
Slc9c1
Trpm4
