Ace
Anxa1
Atp5pf
Avpr1b
Bdkrb2
Drd2
Drd3
Drd4
Hrh2
Hrh3
Kiss1r
Lhcgr
Mif
Nmb
Nmur2
Ntsr1
Oc90
Pla2g10
Pla2g12a
Pla2g12b
Pla2g1b
Pla2g2a
Pla2g2c
Pla2g2d
Pla2g2e
Pla2g2f
Pla2g3
Pla2g4a
Pla2g4f
Pla2g5
Pla2g6
Pla2r1
Pnpla8
Proca1
Sstr4
Syk
