Aanat
Adipoq
Agxt
Ahr
Akap6
Akap7
Akap9
Alas1
Aldh3a1
Aqp1
Aqp8
Aqp9
Areg
Ass1
Atp5po
Birc2
Braf
Bsg
Carm1
Cdk2
Cdo1
Cftr
Cited1
Cnga3
Col1a1
Cps1
Crem
Crhbp
Crtc1
Crtc2
Crtc3
Cyp27b1
Dgkq
Dmtn
Duox1
Duox2
Dusp1
Eef2k
Ezr
Fbp1
Fdx1
Fos
Fosb
Gata1
Gpd1
Hcn1
Hcn2
Hcn3
Hcn4
Hmga1
Hmgcs2
Igfbp5
Inhbb
Inpp5k
Ins1
Itpr1
Itpr2
Itpr3
Jun
Kcne1
Kcnq1
Kdm1a
Lncbate10
Mmp19
Ndufs4
Oxt
Pax4
Pck1
Pde2a
Pde4d
Penk
Per1
Pik3cg
Pik3r1
Pkd2
Pklr
Pnpt1
Pygm
Rap1a
Rap1b
Rapgef1
Rapgef2
Rapgef3
Rela
Ren1
Ren2
Scx
Slc26a3
Slc26a6
Slc6a3
Slc8a1
Slc8a3
Srebf1
Star
Stat1
Stc1
Thbd
Tifab
Top1
Tyr
Vgf
Wnt10b
Zfp36l1
