Abcb4
Abcd3
Acox2
Akr1d1
Amacr
Baat
Casr
Cyp27a1
Cyp39a1
Cyp7a1
Cyp7b1
Cyp8b1
Errfi1
Hnf1a
Hsd17b10
Nherf1
Osbpl3
Osbpl6
Pex2
Slc27a2
Slc27a5
Slc51a
Slc51b
Star
Stard10
