Ep300
Hnf1a
Klhl22
Lars1
Mtor
Pdx1
Pik3c3
Pik3ca
Rptor
Rragd
Sesn1
Sesn2
Sesn3
Slc3a2
Slc7a5
Slc7a8
Stambpl1
Ubr1
Ubr2
